"week_end_date","region","copies_per_day_per_person","population_covered","n_sites"
"2023-07-09","West Coast","1920548","15000","2"
"2023-07-02","Canterbury","1274773","475600","6"
"2023-07-02","Southland","408368","58000","2"
"2023-07-02","Marlborough","1771553","31000","1"
"2023-07-02","West Coast","5701296","15000","2"
"2023-07-02","Taranaki","2224878","100000","2"
"2023-07-02","Tasman","267927","8300","1"
"2023-07-02","Otago","1978614","189300","7"
"2023-07-02","Nelson","468942","86000","2"
"2023-07-02","Waikato","3023962","192000","2"
"2023-07-02","Northland","343744","72400","4"
"2023-07-02","Gisborne","186993","37000","1"
"2023-07-02","Hawke's Bay","1810681","135000","2"
"2023-07-02","Bay of Plenty","2390245","202020","5"
"2023-07-02","Manawatu-Whanganui","1926378","155700","3"
"2023-07-02","Auckland","1189313","1355000","4"
"2023-07-02","Wellington","826165","459200","6"
"2023-06-25","West Coast","7450129","15000","2"
"2023-06-25","Hawke's Bay","1545613","135000","2"
"2023-06-25","Marlborough","277209","31000","1"
"2023-06-25","Canterbury","1174393","475600","6"
"2023-06-25","Southland","1261778","58000","2"
"2023-06-25","Taranaki","1131335","100000","2"
"2023-06-25","Tasman","3539322","8300","1"
"2023-06-25","Otago","945283","189300","7"
"2023-06-25","Nelson","1709040","26000","1"
"2023-06-25","Waikato","4184232","231800","5"
"2023-06-25","Northland","2994218","72400","4"
"2023-06-25","Gisborne","369979","37000","1"
"2023-06-25","Bay of Plenty","3361376","202020","5"
"2023-06-25","Wellington","1858689","459200","6"
"2023-06-25","Auckland","2128150","1355000","4"
"2023-06-25","Manawatu-Whanganui","1543016","155700","3"
"2023-06-18","Marlborough","277790","31000","1"
"2023-06-18","Southland","296052","58000","2"
"2023-06-18","West Coast","1217605","15000","2"
"2023-06-18","Taranaki","4041767","100000","2"
"2023-06-18","Tasman","2510168","8300","1"
"2023-06-18","Otago","3434220","189300","7"
"2023-06-18","Nelson","3068496","26000","1"
"2023-06-18","Waikato","696537","231800","5"
"2023-06-18","Northland","7589696","7400","3"
"2023-06-18","Canterbury","1477949","475600","6"
"2023-06-18","Gisborne","1883083","37000","1"
"2023-06-18","Wellington","934542","459200","6"
"2023-06-18","Hawke's Bay","974157","135000","2"
"2023-06-18","Manawatu-Whanganui","876855","155700","3"
"2023-06-18","Auckland","1313367","1355000","4"
"2023-06-18","Bay of Plenty","2164440","211720","6"
"2023-06-11","Canterbury","2132353","488100","7"
"2023-06-11","Marlborough","524711","36000","2"
"2023-06-11","Southland","3880642","58000","2"
"2023-06-11","Taranaki","3801893","102007","3"
"2023-06-11","Tasman","16061073","8300","1"
"2023-06-11","Otago","2463467","189300","7"
"2023-06-11","Nelson","2250900","86000","2"
"2023-06-11","Waikato","3982200","243300","7"
"2023-06-11","Northland","132885","72400","4"
"2023-06-11","Gisborne","3045690","37000","1"
"2023-06-11","Bay of Plenty","3478685","224620","9"
"2023-06-11","Wellington","2331757","465000","7"
"2023-06-11","Auckland","4152403","1365260","6"
"2023-06-11","Manawatu-Whanganui","2196593","155700","3"
"2023-06-11","West Coast","246120","15000","2"
"2023-06-11","Hawke's Bay","2669132","139610","3"
"2023-06-04","Otago","2283291","189300","7"
"2023-06-04","Manawatu-Whanganui","2996512","155700","3"
"2023-06-04","Bay of Plenty","5948347","215520","7"
"2023-06-04","West Coast","1324717","15000","2"
"2023-06-04","Southland","1057222","58000","2"
"2023-06-04","Taranaki","4601930","102007","3"
"2023-06-04","Northland","1070320","72400","4"
"2023-06-04","Marlborough","919072","36000","2"
"2023-06-04","Waikato","1881383","225200","4"
"2023-06-04","Nelson","5324540","86000","2"
"2023-06-04","Wellington","2358479","465000","7"
"2023-06-04","Gisborne","3531850","37000","1"
"2023-06-04","Auckland","5141529","1365260","6"
"2023-06-04","Hawke's Bay","2737436","139610","3"
"2023-06-04","Canterbury","4768756","492000","8"
"2023-05-28","Bay of Plenty","3952642","214920","8"
"2023-05-28","West Coast","1385003","15000","2"
"2023-05-28","Southland","3649732","58000","2"
"2023-05-28","Taranaki","3605403","102007","3"
"2023-05-28","Northland","1163812","72400","4"
"2023-05-28","Marlborough","12437150","31000","1"
"2023-05-28","Tasman","156024","8300","1"
"2023-05-28","Nelson","5926846","26000","1"
"2023-05-28","Canterbury","2859805","492000","8"
